	PC1	PC2	cell_type	AC
SRR5756717	12.726383738159699	2.98638227534899	E7.25	0
SRR5756718	8.0874494382641	4.28325832259313	E7.25	0
SRR5756719	0.9022557585770872	-9.94982132377831	E7.25	1
SRR5756720	5.61691299706743	-9.83178895394784	E7.25	1
SRR5756721	2.46759099836517	-12.047543915683	E7.25	1
SRR5756722	2.8286808442496496	2.12252484957309	E7.25	0
SRR5756723	-0.928117181694053	8.69993584880435	E7.25	0
SRR5756724	5.05855601207657	-12.1446981448984	E7.25	1
SRR5756725	1.02192249006387	2.58426431767317	E7.25	0
SRR5756726	6.642563654068179	4.1678160441017	E7.25	0
SRR5756727	6.3180457268674814	-0.910021093066312	E7.25	0
SRR5756728	6.64600893637329	-11.767732565188801	E7.25	1
SRR5756729	9.22297016624983	3.3654333162208903	E7.25	0
SRR5756730	-4.829405809392691	-2.56580607593496	E7.25	1
SRR5756731	15.5374639151896	10.3445459546687	E7.25	0
SRR5756732	-5.87519001849226	5.19021675038218	E7.25	0
SRR5756733	2.0869021156068603	8.69980373775679	E7.25	0
SRR5756734	-1.95293639686612	2.37445408795566	E7.25	0
SRR5756735	6.29983292328143	13.8054408597901	E7.25	0
SRR5756736	1.31583014661726	-3.60664598804208	E7.25	1
SRR5756737	2.62327978450686	7.843495480644702	E7.25	0
SRR5756738	-4.64289736229607	-6.01910214323597	E7.25	1
SRR5756739	0.84133995920854	13.118665307998299	E7.25	0
SRR5756740	-3.0645941155224103	5.99357971647406	E7.25	0
SRR5756741	16.4007079096145	2.16599406069638	E7.25	0
SRR5756742	-13.320587563422599	-3.8880625708059102	E7.25	1
SRR5756743	-0.261727927801788	8.14269331408346	E7.25	0
SRR5756744	8.87916333424302	6.34941208315938	E7.25	0
SRR5756745	5.207983393612071	10.0918592295862	E7.25	0
SRR5756746	-4.75842083851349	8.00859596916321	E7.25	0
SRR5756747	6.81367607422693	3.91249179700993	E7.25	0
SRR5756748	13.6341909514744	12.9016999591888	E7.25	0
SRR5756749	3.4685241950905903	-6.336072287446459	E7.25	1
SRR5756750	3.22239828651622	-3.0137839880673303	E7.25	1
SRR5756751	10.6014296723927	3.83778910420821	E7.25	0
SRR5756752	9.20208000227123	1.3210715170933502	E7.25	0
SRR5756753	15.4732096889805	10.423675850356599	E7.25	0
SRR5756754	11.1264564746134	-3.9076837373928703	E7.25	0
SRR5756755	-3.9159653479249306	7.590585064981741	E7.25	0
