	PC1	PC2	line_1	line_2	pseudotime	cell_type	AC
SRR1033032	6.1958595924862	-0.238048579296477	7.30762693050887	-1.4418774965105101	65.1347940364277	24	1
SRR1033151	8.1306048349231	-2.20532421359758	7.371264995033081	-1.38310608756584	65.22141898529199	48	1
SRR1033046	8.24258188261504	-0.9684198035055409	8.05216077776705	-0.75933794799191	66.1448396688877	24	1
SRR1033226	7.604004962066241	-0.10009361460585302	8.13538206951336	-0.6835442341745129	66.25740285316279	72	1
SRR1033274	8.17871737237552	-0.136687446003541	8.43111503481945	-0.415099566909581	66.6568030611644	72	1
SRR1033018	5.28813936981343	3.16818432645953	8.47881064789464	-0.371926870540207	66.7211362036216	24	1
SRR1033072	8.37165353963079	-0.10667447688414801	8.55159697906057	-0.30632518647874196	66.8191230953791	24	1
SRR1033164	7.86635656957135	0.5059944141555099	8.57747319993322	-0.283003174787806	66.85395835102571	48	1
SRR1033113	9.70924091013145	-1.05652010863467	8.82166290521749	-0.0632587955415276	67.18246436980951	48	1
SRR1033089	7.08864571579775	2.3166617035622297	9.04055340898668	0.13234169152974198	67.4760160742549	24	1
SRR1033174	4.558824561153361	5.19362851895615	9.06336966919285	0.15273029465607	67.5066147158463	48	1
SRR1033280	10.213324059534099	-0.5797378939212161	9.34256383697451	0.40176827905443696	67.8807394290056	72	1
SRR1033054	11.7926253013536	-1.4540796179646998	9.804191279882971	0.808988976174529	68.4963111894115	24	1
SRR1033015	8.9952749037679	1.9980284945991	9.934260489882359	0.922838552814845	68.6691687188716	24	1
SRR1033096	8.883569903937198	2.53415932428784	10.1334471948926	1.09665585234281	68.93353172132841	24	1
SRR1033070	11.0574690542773	0.45874681689293295	10.345634339277	1.28061222519777	69.2143578799319	24	1
SRR1033064	11.083227340761699	1.05391817098122	10.6576080148819	1.54903950053209	69.62591685371329	24	1
SRR1033091	9.6787058193522	3.0758260846180803	10.8426146583021	1.7073631895489498	69.8694201362652	24	1
SRR1033110	11.7064941123741	1.3386557890555502	11.1648567460426	1.98059177381708	70.2919054287577	48	1
SRR1033085	7.21558646230748	6.791553859169349	11.22911662644	2.03481143622181	70.3759833926958	24	1
SRR1033234	12.3470674908956	0.7441427875704351	11.246022393466001	2.04907577931078	70.3981029867811	72	1
SRR1033068	11.6317714478668	2.01959681344558	11.457768153198302	2.22719079319996	70.67479997797791	24	1
SRR1033098	10.7107508064994	3.7432222147018397	11.758519938294699	2.4773884877511	71.0660166987317	24	1
SRR1032936	11.1513187098375	3.45230923908644	11.877068334074302	2.5755146058005	71.2199077549544	0	1
SRR1033255	11.7028486171995	2.86431711817976	11.9155405127935	2.6073591999495696	71.26984958824	72	1
SRR1033062	9.18148720734327	6.08923773153833	12.0033693047558	2.68005776623173	71.3838626499349	24	1
SRR1033101	11.9310299969158	3.62975477655142	12.424776900990699	3.0246753218721496	71.92823901038791	24	1
SRR1033019	13.467093431996698	2.7406586037565694	12.917706956588301	3.42349962384145	72.5623059339478	24	1
SRR1033073	12.607247885091699	3.9688602105727897	12.991980579357	3.4830165335422496	72.65748383883921	24	1
SRR1033168	14.645524742289801	1.98813700515024	13.2806999105871	3.7116492634555502	73.02576603690692	48	1
SRR1033145	14.8913382491494	3.2540413924733995	14.0585890689251	4.32404358022981	74.015785401302	48	1
SRR1033045	11.764521814584699	8.12375145920542	14.455748310661098	4.631256379704969	74.517896113653	24	2
SRR1033140	13.7858197130989	6.11106302484468	14.7457244405135	4.85295655372793	74.8829127201875	48	2
SRR1033160	13.3948539070417	7.50258739252959	15.154204136586099	5.1622855799958	75.3952993989717	48	2
SRR1033055	15.9119760161241	4.16204913028399	15.1579303156156	5.1650867802067	75.3999610652812	24	2
SRR1033080	15.285406541463098	6.38818245540439	15.8224188184924	5.6628637453197	76.2302181805488	24	2
SRR1033241	16.014947466831902	5.53176849993132	15.884084243993799	5.708519661956131	76.3069455382915	72	2
SRR1033083	15.914637365648199	6.51773995786412	16.2891523197811	6.007388496796651	76.8103367643385	24	2
SRR1033158	16.0258749257314	7.090489584779191	16.629601596994	6.2556885660978905	77.2317138339208	48	2
SRR1033121	17.682714476294603	6.963300210594831	17.6577453482758	6.9982801084692	78.4999889508024	48	2
SRR1033088	17.1159354914287	8.5050805271157	18.0089330269458	7.248690610959001	78.931310414918	24	2
