	PC1	PC2	line_1	line_2	pseudotime	cell_type	AC
SRR4047445	26.202513083381902	6.41723101157426	25.0489111044285	-7.80404337943928	3.9883059610944303	iPSC	1
SRR4047444	24.6959895042688	8.20300451337499	25.036443704909395	-7.79367347485355	4.004522340834829	iPSC	1
SRR4047414	25.734894233196396	6.62234665597405	24.873431477801	-7.6580907990923395	4.21654981111503	iPSC	1
SRR4047399	25.7563956083034	6.5542367934311	24.8527321046136	-7.6408762450157095	4.24347201240704	iPSC	1
SRR4047443	25.5620788965227	6.77658399408206	24.847169325328696	-7.63625016539792	4.2507070055654905	iPSC	1
SRR4047449	24.3748631357283	7.931266420527719	24.7129607821078	-7.52465490023115	4.425250513840981	iPSC	1
SRR4047396	24.919113070327395	7.25450724168935	24.7020374770574	-7.51557216758862	4.43945666129481	iPSC	1
SRR4047400	24.520736678972803	7.62606761174428	24.6491530199533	-7.47160391537389	4.50823146050221	iPSC	1
SRR4047398	23.7499076028884	8.386302539297809	24.567036542076696	-7.403339124713661	4.61501721602579	iPSC	1
SRR4047442	24.317280195949696	7.60506797174456	24.5184990781835	-7.36299135573019	4.67813478777187	iPSC	1
SRR4047457	24.431282788642	7.4349860855752805	24.5023110034645	-7.349535507106269	4.69918505202909	iPSC	1
SRR4047419	23.228376151456498	8.66846854415241	24.3971853415831	-7.262160130906481	4.83588128881731	iPSC	1
SRR4047417	25.1607541606414	6.23320800667582	24.3430525608735	-7.2171696819738305	4.90626948699369	iPSC	1
SRR4047401	22.781196867829298	8.57534733530188	24.0866342989043	-7.004117077745	5.239648756355111	iPSC	1
SRR4047403	23.137034141346998	7.84787528729083	23.939399185205897	-6.881808011683919	5.431058490555121	iPSC	1
SRR4047412	23.8687103283689	6.80061702625573	23.857661072460104	-6.813920602520749	5.537312052369031	iPSC	1
SRR4047420	24.120956915043603	6.12337053903771	23.674188741191802	-6.6615931247688405	5.77577747296345	iPSC	1
SRR4047423	23.541651496401602	6.81188918493042	23.6695829202762	-6.65776992177792	5.781763328576179	iPSC	1
SRR4047436	23.7812668082852	6.30075598102695	23.560250310605504	-6.5670150340047595	5.92385509185651	iPSC	1
SRR4047455	24.2900839861451	5.57193048057784	23.5035187370673	-6.51994165476892	5.99757330174258	iPSC	1
SRR4047428	23.4738308247194	6.45745993564132	23.455231076114202	-6.47987736322996	6.060317589584921	iPSC	1
SRR4047411	23.097338919804802	6.84511290689675	23.422685311981397	-6.452875557990849	6.10260617254956	iPSC	1
SRR4047429	23.057577272268897	6.098720222870621	23.0322562993666	-6.129282461138411	6.6097031128644	iPSC	1
SRR4047427	22.5541114658301	6.52133046757787	22.9413353245543	-6.05395396198523	6.727775152083991	iPSC	1
SRR4047397	23.4307463561904	5.00332907984853	22.716140497557998	-5.86754561797833	7.02011191135543	iPSC	1
SRR4047447	22.8055596384585	5.4375558349074105	22.558079993946098	-5.7368480937862	7.22520936534254	iPSC	1
SRR4047456	22.9275681941033	4.97900227970963	22.405632108731698	-5.61087108549762	7.422973275911899	iPSC	1
SRR4047438	23.0199518453473	4.76281713831721	22.354399214808602	-5.56855170550684	7.489424305569361	iPSC	1
SRR4047402	22.827793268906603	4.881732364061531	22.298839227529	-5.52267585610896	7.561476409941711	iPSC	1
SRR4047433	22.7736379752687	4.76373954891322	22.208699585875696	-5.4482859475874506	7.67834819219573	iPSC	1
SRR4047416	21.2165849697292	6.1584066885355195	21.9664522577388	-5.248520876594401	7.99233840156268	iPSC	1
SRR4047418	22.4476030349445	4.39549129899761	21.8346455720684	-5.13997523972302	8.1630872161156	iPSC	1
SRR4047421	22.9521829246953	3.7560804753053	21.8216127155826	-5.129244871734451	8.179969044966441	iPSC	1
SRR4047458	22.267846038166297	4.47454236644298	21.766302173009098	-5.08370593127977	8.25161436035769	iPSC	1
SRR4047439	21.580493813312398	5.297621539161041	21.7605301174211	-5.0789536131232	8.25909106775949	iPSC	1
SRR4047432	21.7337298401613	5.00547693499347	21.708502435295802	-5.03611755677553	8.32648400085155	iPSC	1
SRR4047409	20.4302969191649	5.2435643361808495	21.046613692382103	-4.49242730427216	9.18304444744192	iPSC	1
SRR4047407	18.9661564231878	3.8176118323779797	19.4711890578321	-3.20119060561409	11.2200164627402	iPSC	1
SRR4047297	5.31065643250769	-2.7334279035143	8.42521079279325	6.33177605744434	25.810804283509	MN	2
SRR4047296	2.8168548464757097	-4.55251482315741	6.37341320363115	8.136043140431841	28.543065810823602	MN	2
SRR4047335	1.28757627751642	-4.2682550178224306	5.745123366581451	8.759604411010692	29.4282645328662	MN	2
SRR4047282	2.1465922137967604	-5.30949391506204	5.657271421762361	8.846795174100938	29.552039301606698	MN	2
SRR4047281	3.8561857548265	-7.46237883282826	5.44211393593477	9.06033336511674	29.8551750842684	MN	2
SRR4047356	1.57051494766135	-5.950380914175001	5.04662247071224	9.45284832559308	30.4123837464962	NPC	2
SRR4047348	-0.10321266189778501	-7.298048395208499	3.6558410554917202	10.8723452854636	32.3996543782935	MN	2
SRR4047372	-0.375247275695275	-10.4770496644509	1.86332560803031	12.7506653292188	34.996036055967394	NPC	2
SRR4047375	1.4599366126905102	-13.413019132948401	1.32736152516027	13.278368705455899	35.748185211001704	NPC	2
SRR4047366	-1.0677249268832298	-11.9710747142939	0.764786733938302	13.832272644548302	36.5376787001835	NPC	2
SRR4047383	-0.6361292277177829	-13.500616269153099	0.15164166698234602	14.4090580097456	37.379479288588	NPC	2
SRR4047380	-0.729669881482862	-13.4256346904595	0.135363454013165	14.423173942360599	37.4010255126438	NPC	2
SRR4047246	-0.651478667108672	-15.0868623652459	-0.670396128628924	15.0592125302779	38.427570002833704	NPC	2
SRR4047382	-1.3937389317753703	-14.092512880558699	-0.712590962816245	15.088081388013	38.4786954855114	NPC	2
SRR4047361	-0.36138940205065795	-15.757898269267399	-0.7855243695136659	15.137980959433	38.5670654410415	NPC	2
SRR4047386	0.5036208063903571	-17.127489746470403	-0.8345923185327869	15.1715522642353	38.6265187515218	NPC	2
SRR4047373	-1.9968182377096102	-13.881901177937698	-1.18502387293924	15.388218618245402	39.038521886563004	NPC	2
SRR4047251	0.289326208441395	-18.6541384000048	-1.40645237854214	15.507552304650302	39.290059382385294	NPC	2
SRR4047368	-2.50385822705934	-13.691353065857902	-1.4983650699741	15.557086488454301	39.3944700054626	NPC	2
SRR4047376	-1.17245200588827	-16.3734369227752	-1.5867377579442299	15.6047128706325	39.4948592691238	NPC	2
SRR4047357	-0.8433291755925558	-18.288087514077002	-1.81282631983887	15.701337171372499	39.7407297498918	NPC	2
SRR4047245	-0.604626022071861	-20.1332894103444	-1.96552760755218	15.758568617297803	39.903803725963996	NPC	2
SRR4047355	-1.9422141784606102	-16.3657144729442	-2.10850139535463	15.8027490371928	40.0534480158674	NPC	2
SRR4047266	-1.76565095748867	-17.144884977248598	-2.1296756495681	15.8085168726745	40.0753937892108	NPC	2
SRR4047277	-2.16257816952712	-17.696846056173	-2.4548763223332	15.8780660526687	40.4079483952603	NPC	2
SRR4047258	-2.24740757771428	-19.554000417429602	-2.54965718627541	15.890441100717899	40.503533718317	NPC	2
SRR4047269	-2.35455260438392	-18.491415942668397	-2.54965718627541	15.890441100717899	40.503533718317	NPC	2
SRR4047247	-2.06277848162106	-21.2266472745708	-2.54965718627541	15.890441100717899	40.503533718317	NPC	2
SRR4047264	-2.3125920695196402	-19.581026362240898	-2.57703911774899	15.8924041835717	40.5309859288931	NPC	2
SRR4047253	-2.49898825196916	-17.351901927850598	-2.60348755233521	15.8943003415727	40.557502246647	NPC	2
SRR4047268	-2.3715388042651604	-19.7652566836385	-2.64882484319888	15.8975506914765	40.6029559012564	NPC	2
SRR4047276	-2.3243128274775295	-20.9344682346087	-2.68523557972413	15.900161073166801	40.6394600904254	NPC	2
SRR4047250	-2.6341936864952	-17.7539170918125	-2.7390407913966697	15.9040185106372	40.6934033998063	NPC	2
SRR4047256	-2.5179366191719303	-19.8107380700582	-2.7390407913966697	15.9040185106372	40.6934033998063	NPC	2
SRR4047248	-2.64181477019067	-21.2813613715192	-2.7547390390487703	15.904348194251599	40.709105108969	NPC	2
SRR4047377	-2.7918232911078196	-16.7618619719726	-2.7977804812124996	15.905118165868002	40.752153437622106	NPC	2
SRR4047395	-2.80468708781744	-16.4811832541246	-2.8049014107416896	15.9051612483127	40.759274497477	NPC	2
SRR4047270	-2.84431586014367	-19.7271851951588	-2.81847128206111	15.9051662973117	40.7728443697357	NPC	2
SRR4047272	-3.0145313484874396	-21.305701613832397	-2.8643672895748598	15.904576885892801	40.8187441617998	NPC	2
SRR4047265	-2.8796637203895497	-16.1160697646098	-2.8734087185571897	15.904309818603	40.827789534261996	NPC	2
SRR4047273	-3.1072670226912003	-18.9314662875711	-2.9388401291118504	15.901648152109802	40.8932750590418	NPC	2
SRR4047275	-3.12904775341915	-18.886972912706	-2.94443997816163	15.901301906434199	40.898885602281794	NPC	2
SRR4047384	-3.13122167146198	-17.7042574265718	-2.99173180363406	15.8980042128054	40.9462922636258	NPC	2
SRR4047257	-3.0878166814238197	-16.393354841103	-3.0360406818787005	15.8941196280144	40.990771097809	NPC	2
SRR4047267	-3.52311779489137	-19.528127766728698	-3.08760355442773	15.888430518636198	41.0426468704879	NPC	2
SRR4047259	-3.15267861675322	-16.1520133474389	-3.11679019763744	15.8846796724024	41.07207354188171	NPC	2
SRR4047262	-3.67310433760403	-19.8125868066224	-3.1174238932013	15.884594601443801	41.0727129221564	NPC	2
SRR4047249	-3.6936422477877997	-19.810539204357603	-3.12913387669634	15.8829115539921	41.084543237544295	NPC	2
