cell	PC1	PC2	line_1	line_2	pseudotime	cell_type	sex	AC
SRR2727260	-30.6983201855465	4.09785974954936	-29.146619514275397	5.18295169451291	18.551461201502	ES	female	0
SRR2727351	-24.5857362485753	8.226407455388781	-29.078083852258896	5.08494448576842	18.6710544702671	Epi	female	0
SRR2727406	-29.1660448732072	5.00509668780117	-29.069471974471195	5.072629348230009	18.686082013367	Epi	female	0
SRR2727246	-33.959354516840804	1.54112120316313	-29.0261929059049	5.010958308538809	18.7614238670247	ES	female	0
SRR2727234	-26.971917247390298	6.27474435726048	-28.938766057642198	4.88675994797771	18.9133076599823	ES	female	0
SRR2727219	-30.7132690953688	3.47372427133053	-28.8649058871349	4.78228448246441	19.041254710286697	ES	female	0
SRR2727253	-31.4943129490729	2.86075439945144	-28.836598510956698	4.74229983964542	19.0902453135434	ES	female	0
SRR2727164	-28.890230605626996	4.58644882767216	-28.781044735149607	4.66405381801801	19.1862070866978	ES	male	0
SRR2727245	-32.9794224579091	1.3932192357389	-28.658715776212002	4.49242281426542	19.3969713522741	ES	female	0
SRR2727251	-34.3691375698913	0.3809277346431521	-28.6513929982239	4.4822138767174815	19.409535009517104	ES	female	0
SRR2727259	-35.3633467219122	-0.5005249163018439	-28.571676483656894	4.3710783322448	19.546304274850897	ES	female	0
SRR2727248	-33.7920035038206	0.4139494739218789	-28.4808300268212	4.244798724318319	19.7018665392265	ES	female	0
SRR2727201	-26.376756266050002	5.727492664001598	-28.4642552172674	4.22181904458294	19.7302000881127	ES	male	0
SRR2727261	-15.352390490869201	13.6776200778982	-28.4635247159902	4.22080626157987	19.731448832092603	ES	female	1
SRR2727415	-26.742025252745105	5.32692702227899	-28.396648891639398	4.12835880347621	19.8455492632593	Epi	female	0
SRR2727177	-31.4565456432723	1.8439343224330904	-28.3643850498407	4.08381856414383	19.9005473396565	ES	male	0
SRR2727264	-29.112031570244604	3.3523827578757994	-28.275318530395197	3.9613082370189305	20.0520122700476	ES	female	0
SRR2727221	-31.0332082878876	1.7746877859828898	-28.195320627816702	3.8518022127825	20.187626553075	ES	female	0
SRR2727372	-41.4332475246817	-5.864864038019348	-28.182201244582	3.83387766548307	20.209839333458106	Epi	female	0
SRR2727409	-29.6321598519242	2.61376397424361	-28.1086849016228	3.73363409636467	20.334151142356895	Epi	female	0
SRR2727258	-33.9038590760975	-1.04752797401916	-27.884938735634602	3.43119700432374	20.7103565934559	ES	female	0
SRR2727379	-28.670300597839304	2.80150421824348	-27.863243815169	3.40204138554684	20.7466983006292	Epi	female	0
SRR2727159	-24.550346577874894	5.57556659269493	-27.7113986629852	3.1982933500196404	21.0008049951945	ES	male	0
SRR2727363	-30.8417009582278	0.128039627741976	-27.381529819250805	2.76272879788919	21.5471839233564	Epi	female	0
SRR2727254	-27.566014981673497	1.97759876979653	-27.0722208867356	2.3598464467291405	22.055107347319	ES	female	0
SRR2727203	-26.5601582492307	2.7181713396712204	-27.053795916146	2.3360447541993503	22.0852071830081	ES	male	0
