exon	frequency	size	mean_expression	read_counts	psi_mean	psi_binary
Mapt_4	0.349191714254105	0.8063525333417741	1.1967044670679619	0.39242758403373057	0.09476794340924782	1.1837700970084166
Mapt_5	0.349191714254105	0.8063525333417741	1.1967044670679619	0.91324090443531	0.250204315684941	0.0
Mapt_7	0.349191714254105	0.8063525333417741	1.1967044670679619	0.5891542913740742	0.24663021223017323	0.5166907432183888
Mark2_1	0.16365482860005975	0.6983014349098307	0.9562161262169562	0.09139758836974936	0.14814814814814825	2.0794415416798353
Max_1	0.38734430401765196	0.3722189775935483	0.9937652646924882	0.6673267228405539	0.22477216228247365	0.19845093872383843
Mbnl1_4	0.020495485924187342	0.5866055312512602	0.45632229179971434	0.05158703422139899	0.04166666666666674	1.9459101490553132
Mcfd2_1	0.19834576766878076	0.3915204354205257	1.0540679610858508	0.15333410816776522	0.14065934065934071	2.4849066497880012
Mcfd2_2	0.19834576766878076	0.3915204354205257	1.0540679610858508	0.5840866203160615	0.2278857067818108	0.5039051809214169
Mdm1_1	0.08825664275090668	0.4051411331715723	0.36982657026825516	0.2970997020355488	0.1923076923076923	1.5639755383573426
Mdm4_1	0.2496014182280975	0.378543597636272	0.9056921529214336	0.40646345673763284	0.23790922619047628	1.366876275262789
Mdm4_2	0.2496014182280975	0.378543597636272	0.9056921529214336	0.5073452373255358	0.28838282218563926	1.2347444629926896
Meaf6_nmdSE_1	0.11580617466242955	0.8677066633496273	1.2873939029701047	0.6605407334972617	0.16737969230243938	-0.15762894420358303
Med14_2	0.15980991225174915	0.401542983618312	0.3158176052617961	0.24693309256981857	0.24226475279106863	1.8870696490323802
Meg3_3	0.2659597046066885	0.9286475582869224	1.317608440732508	0.6304553628874277	0.11042251606514941	0.07796154146971171
Meis2_1	0.016110929516683435	1.0687705572638246	0.5774512309897502	0.1825637258270161	0.09285714285714286	1.7917594692280545
Metap1d_3	0.1714968676147606	0.6884047006793309	0.6158944697348924	0.32574488348507885	0.26832905982905986	1.6582280766035322
Mff_3	0.20541059537671022	0.5966596820978795	1.4673558280206302	0.9624247992140825	0.16273358252428993	-0.7351113796589775
Mff_5	0.20541059537671022	0.5966596820978795	1.4673558280206302	0.52521996109524	0.28236663336663337	1.6582280766035322
Mfge8_1	0.40518905492397683	0.888508730786169	1.1150711635720159	0.7781512503836436	0.25209994802253266	-0.019802627296179754
Mib2_1	0.2003482530714444	0.31279138042205507	0.5414276506622254	0.15607414553379403	0.10689655172413803	1.8325814637483098
Mier1_2	0.16343018150077632	0.34509730786552534	0.8217115549011834	0.24471163257586057	0.020714285714285685	2.5123056239761152
Mier1_3	0.16343018150077632	0.34509730786552534	0.8217115549011834	0.2424787511435686	0.03240418118466892	2.5389738710582765
Mier1_4	0.16343018150077632	0.34509730786552534	0.8217115549011834	0.22651862774984158	0.008424908424908395	2.4849066497880012
Mis12_1	0.25561337449907706	0.4956124653188405	0.719783728693418	0.39083966825409866	0.10211349497063793	1.1631508098056806
Mllt10_15	0.25774615518995436	0.9371882720872001	0.9846877961349749	0.24023433022111634	0.22801484230055657	1.526056303495049
Mllt10_3	0.25774615518995436	0.9371882720872001	0.9846877961349749	0.4823069220846812	0.2747707336523125	1.8870696490323802
Mocs2_4	0.16239391397126	0.5920220943500789	0.8878090672886356	0.715852834369074	0.26873072640035245	0.5690945318899662
Mpzl1_1	0.3828214035157861	0.6198651534746885	1.182034864184697	0.9245586649598425	0.01651132025072377	-0.578736829382201
Mrpl24_1	0.08708911041143469	1.513460527101596	1.522403525133189	1.0494974015681424	0.13280410081790783	-1.0021520224805474
Msl3_1	0.08976523903272267	0.441902952369556	0.3824988283297699	0.23571038846107012	0.19511278195488724	1.3217558399823195
Mta1_2	0.07548811780305112	0.6419825516333136	0.4919256616871153	0.05848074216929946	0.11818181818181817	2.3025850929940455
Mtif2_1	0.05493163093929786	1.8730317952853146	0.9694499361549243	0.4432277377137869	0.23201921393557434	1.0169342576538425
Mtif3_1	0.29704605739236184	0.3041955735290115	0.6545115115174631	0.19272312434213798	0.08777777777777779	1.1895840668738367
Mtif3_2	0.29704605739236184	0.3041955735290115	0.6545115115174631	0.2643071886392413	0.0660956929249612	1.2685113254635074
Mtmr14_5	0.09470619721642934	1.2857180704055176	0.8909484598549844	0.5036802832391304	0.2283130306386123	0.7817005779013904
Mtmr14_8	0.09470619721642934	1.2857180704055176	0.8909484598549844	0.6368220975871743	0.2911567945723542	0.7419373447293771
Mtmr2_1	0.09392656537238622	0.8176454825188308	0.9528945347594288	0.46789462128128156	0.05104843246155433	0.7765287894989961
Mtmr2_2	0.09392656537238622	0.8176454825188308	0.9528945347594288	0.3876463120877483	0.14962034493284487	1.0169342576538425
Mtmr3_2	0.1472125624057072	0.6280676532025543	0.3263589366672974	0.22651862774984158	0.06562137049941924	1.7635885922613586
Mtss1_2	0.19783529269818417	0.8375577557132472	0.4488857819395958	0.17216096542724882	0.2655913978494624	2.233592221507094
Mvk_1	0.22229580540837832	0.35403330289896107	0.9888951707362817	0.5263858530220301	0.24681354310983944	0.5839478885949532
Mycbp2_4	0.0608495601175033	1.2562207935935175	0.31063572414280466	0.05158703422139899	0.23333333333333328	2.1972245773362196
Myef2_9	0.13202576088377158	0.5028354074502506	0.883169242806962	0.5344606178301528	0.06373018683145282	0.4372138064227448
N4bp2_6	0.15540570728913616	0.5061928324845053	0.4336946739565716	0.02655902851946796	0.16666666666666669	0.4054651081081642
