	SRR4047452	SRR4047453	SRR4047431	SRR4047415	SRR4047430	SRR4047450	SRR4047404	SRR4047426	SRR4047425	SRR4047424	SRR4047441	SRR4047410	SRR4047448	SRR4047440	SRR4047446	SRR4047406	SRR4047422	SRR4047435	SRR4047451	SRR4047434	SRR4047408	SRR4047437	SRR4047454	SRR4047405	SRR4047445	SRR4047444	SRR4047414	SRR4047399	SRR4047443	SRR4047449	SRR4047396	SRR4047400	SRR4047398	SRR4047442	SRR4047457	SRR4047419	SRR4047417	SRR4047401	SRR4047403	SRR4047412	SRR4047420	SRR4047423	SRR4047436	SRR4047455	SRR4047428	SRR4047411	SRR4047429	SRR4047427	SRR4047397	SRR4047447	SRR4047456	SRR4047438	SRR4047402	SRR4047433	SRR4047416	SRR4047418	SRR4047421	SRR4047458	SRR4047439	SRR4047432	SRR4047409	SRR4047407	SRR4047297	SRR4047296	SRR4047335	SRR4047282	SRR4047281	SRR4047356	SRR4047348	SRR4047372	SRR4047375	SRR4047366	SRR4047383	SRR4047380	SRR4047246	SRR4047382	SRR4047361	SRR4047386	SRR4047373	SRR4047251	SRR4047368	SRR4047376	SRR4047357	SRR4047245	SRR4047355	SRR4047266	SRR4047277	SRR4047258	SRR4047269	SRR4047247	SRR4047264	SRR4047253	SRR4047268	SRR4047276	SRR4047250	SRR4047256	SRR4047248	SRR4047377	SRR4047395	SRR4047270	SRR4047272	SRR4047265	SRR4047273	SRR4047275	SRR4047384	SRR4047257	SRR4047267	SRR4047259	SRR4047262	SRR4047249	SRR4047381	SRR4047365	SRR4047252	SRR4047274	SRR4047261	SRR4047387	SRR4047374	SRR4047388	SRR4047360	SRR4047364	SRR4047358	SRR4047363	SRR4047255	SRR4047392	SRR4047379	SRR4047271	SRR4047370	SRR4047367	SRR4047354	SRR4047369	SRR4047378	SRR4047391	SRR4047385	SRR4047394	SRR4047254	SRR4047291	SRR4047371	SRR4047393	SRR4047333	SRR4047342	SRR4047389	SRR4047292	SRR4047329	SRR4047313	SRR4047326	SRR4047293	SRR4047307	SRR4047328	SRR4047324	SRR4047305	SRR4047306	SRR4047304	SRR4047327	SRR4047334	SRR4047312	SRR4047337	SRR4047320	SRR4047317	SRR4047289	SRR4047347	SRR4047303	SRR4047294	SRR4047319	SRR4047316	SRR4047330	SRR4047314	SRR4047308	SRR4047298	SRR4047349	SRR4047286	SRR4047325	SRR4047310	SRR4047350	SRR4047284	SRR4047345	SRR4047339	SRR4047351	SRR4047352	SRR4047336	SRR4047340	SRR4047309	SRR4047301	SRR4047318	SRR4047343	SRR4047341	SRR4047287	SRR4047321	SRR4047288	SRR4047322	SRR4047346	SRR4047344	SRR4047302	SRR4047353	SRR4047299	SRR4047279	SRR4047283	SRR4047290	SRR4047300	SRR4047280	SRR4047311	SRR4047285	SRR4047338
ABCD4_11	1.0	1.0	1.0		0.4866310160427808	1.0	0.047619047619047616			1.0	1.0		1.0		1.0		1.0		1.0	0.05147058823529412	1.0	1.0	1.0	1.0		1.0	1.0	0.6629213483146067	0.5738831615120275	1.0		1.0	1.0		1.0						0.5368663594470046				1.0	0.7891891891891892			1.0	1.0			0.0	0.0	1.0		1.0		0.9414634146341464	0.92		1.0					1.0			1.0				1.0					1.0			1.0										1.0		1.0	1.0		1.0	1.0	1.0				1.0							1.0	0.10120068610634647					1.0			1.0								1.0					1.0	1.0	1.0	1.0	1.0																											1.0														1.0			1.0		1.0	1.0						1.0			1.0	1.0						1.0			1.0
ABCD4_15		1.0	1.0		1.0		1.0				1.0		1.0		1.0		1.0			1.0	1.0	1.0				1.0		1.0		1.0		1.0	1.0		1.0	1.0					1.0					1.0			1.0				1.0	1.0						1.0		1.0					1.0												1.0		1.0						1.0							1.0	1.0			1.0		0.0											1.0								0.4947368421052632															1.0		0.0																																																									1.0									
ABCD4_17		1.0	1.0								0.3130434782608696		0.8009049773755657		1.0		1.0				0.4579439252336449	1.0						0.0	0.0	1.0		0.0			0.0	1.0					1.0								1.0													1.0					0.0												1.0		1.0						0.0							1.0	0.0			0.0	0.0		1.0										1.0								0.2427184466019417															1.0																																																											1.0									
ABCD4_18		1.0	1.0		0.875								1.0		1.0		1.0				1.0	1.0								1.0			1.0			1.0					0.5					0.0			1.0				0.0	0.0						1.0		1.0																	1.0		1.0			1.0										1.0																	1.0																							1.0	1.0																																																										1.0									
ABCD4_22		1.0					1.0				1.0		1.0				1.0			1.0	1.0	1.0				1.0		1.0	1.0	1.0		1.0			1.0						0.3548387096774194					0.0			1.0				0.0	0.0													1.0												1.0								1.0								1.0			1.0	1.0		1.0										1.0								1.0						1.0									1.0																																																																				
ABCD4_3		0.0	0.028571428571428567		1.0	1.0	0.14285714285714285				1.0		0.7597173144876325		1.0		1.0			0.09274193548387097	1.0	1.0	1.0	1.0		1.0		1.0	1.0	1.0		1.0	1.0		1.0						1.0					0.0			1.0				1.0	1.0						1.0		1.0					1.0			1.0		1.0							1.0		1.0													1.0	1.0		1.0	1.0		1.0											1.0								0.0															0.0		0.0						1.0																																																												
ABCD4_5		0.7021276595744681	0.6571428571428571								1.0		1.0		0.004524886877828055		1.0				1.0	1.0				1.0		1.0	1.0	1.0		1.0			1.0	0.0					1.0								1.0													0.0					1.0												1.0		0.0			0.0										0.003745318352059925	1.0			1.0	1.0	1.0	0.96										1.0								1.0						1.0									1.0	0.0																																																										0.0									
ABCD4_9		0.3457943925233645	0.3015873015873016		1.0	1.0	0.03592814371257485				0.0410958904109589		0.7028985507246377		1.0		1.0			0.040920716112531966	0.5886524822695035	1.0	1.0	1.0		1.0		1.0	1.0	0.023809523809523808		1.0	1.0		1.0						0.0				1.0	1.0			1.0											1.0		1.0					1.0			1.0									1.0													1.0		1.0	1.0		1.0	1.0		1.0											0.996007984031936								0.0													0.0		0.0	0.8403908794788274	1.0																																																															1.0			
ABHD14A_1								1.0																																																			1.0											1.0					1.0							0.0											0.009174311926605505		1.0											1.0																								1.0											1.0																				1.0		1.0		1.0			1.0		1.0		1.0	1.0					1.0														1.0	1.0					1.0		1.0		0.7142857142857143
ABHD14A_2								0.0																														1.0																					1.0											1.0					1.0			1.0				1.0											1.0		1.0																																			1.0											1.0												1.0								1.0				1.0			1.0		1.0			1.0		1.0			1.0								1.0						1.0	1.0	1.0				1.0		1.0	1.0	0.8333333333333334
