	C_score	pvals
Cadm1_2	0.042729596983737794	0.0049504950495049506
Calu_1	0.01306272054718538	0.43564356435643564
Calu_2	0.04853738877871705	0.0049504950495049506
Carm1_5	0.004483754198998935	0.9356435643564357
Casp8ap2_4	0.05773462270797858	0.08415841584158416
Ccar1_1	0.01419082745341127	0.693069306930693
Ccnc_2	0.041555808466835265	0.07920792079207921
Ccnl1_nmdSE_1	0.008915745773393269	0.5495049504950495
Ccnl1_nmdSE_3	0.01420081890966185	0.3217821782178218
Ccnl2_nmdSE_1	0.06476319253734752	0.0049504950495049506
Ccnt1_3	0.08949427946437216	0.009900990099009901
Cdc123_3	0.029771514710139946	0.4207920792079208
Cdc14b_3	0.01605037183243041	0.2623762376237624
Cdk11b_2	0.05320336634631506	0.019801980198019802
Cdk11b_3	0.04547834948932972	0.15346534653465346
Cdk2_1	0.005524933878981453	0.7722772277227723
Celf1_5	0.01851891291702612	0.3118811881188119
Cenpa_6	0.03622819873716909	0.04950495049504951
Cenpa_nmdSE_1	0.06403021107737916	0.0049504950495049506
Cenph_3	0.0028896151496139444	0.9356435643564357
Cenpm_3	0.038465224203950155	0.47029702970297027
Cenpu_nmdSE_1	0.06273487704783653	0.13861386138613863
Cep57_1	0.06265420415210088	0.07920792079207921
Cep57_3	0.019934388809431325	0.7277227722772277
Cep89_nmdSE_1	0.028716167823913064	0.5445544554455446
Cfap20_3	0.14276573585863717	0.0049504950495049506
Chchd3_6	0.08256275419939818	0.07425742574257425
Chek2_1	0.029151129613235405	0.5445544554455446
Chek2_6	0.012447477048859734	0.6485148514851485
Chka_5	0.03927805197841927	0.039603960396039604
Chtf8_2	0.02376818007210235	0.4603960396039604
Chtf8_3	0.02910985810308131	0.4504950495049505
Chtop_2	0.06677574585152302	0.009900990099009901
Cib1_2	0.013895896096781324	0.698019801980198
Cldnd1_1	0.015174215249230794	0.599009900990099
Cldnd1_2	0.012181267455619205	0.7277227722772277
Cldnd1_4	0.008378379570550987	0.7871287128712872
Clk1_1	0.04679342676897991	0.009900990099009901
Clk1_2	0.02985369938866589	0.1782178217821782
Clk3_1	0.020300394557094648	0.5445544554455446
Clk4_10	0.013202737828221567	0.3811881188118812
Clk4_4	0.02797968117190197	0.4504950495049505
Clk4_5	0.06918563476542527	0.0049504950495049506
Clpx_1	0.004481035206167272	0.8316831683168316
Cmc2_2	0.007189093210393738	0.8465346534653465
Cmc2_3	0.01510870958095123	0.7574257425742574
